Genome accession,Genus,Species,Strain,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Replicon_23
GCF_001664485.1_ASM166448v1,Rhizobium,sp.,N324,"61,71","61,36","62,03","57,91","60,99","62,19",,,,,,,,,,,,,,,,,
GCF_001691455.1_ASM169145v1,Rhizobium,sp.,S41,"59,26","59,31",,,,,,,,,,,,,,,,,,,,,
GCF_002117485.1_ASM211748v1,Rhizobium,sp.,NXC14,"61,1","60,69","61,62","58,23",,,,,,,,,,,,,,,,,,,
GCF_002277895.1_ASM227789v1,Rhizobium,sp.,11515TR,"59,75","59,21","58,8",,,,,,,,,,,,,,,,,,,,
GCF_002600635.1_ASM260063v1,Rhizobium,sp.,ACO-34A,"61,15","60,39","62,77","61,57","59,44",,,,,,,,,,,,,,,,,,
GCF_002814035.1_ASM281403v1,Rhizobium,sp.,Y9,"59,37","59,27","57,59",,,,,,,,,,,,,,,,,,,,
GCF_002944315.1_ASM294431v1,Rhizobium,sp.,NXC24,"59,85","59,05","56,78","58,31",,,,,,,,,,,,,,,,,,,
GCF_003627795.1_ASM362779v1,Rhizobium,sp.,CCGE531,"60,61","60,21","58,64","57,63","58,43",,,,,,,,,,,,,,,,,,
GCF_006517835.1_ASM651783v1,Rhizobium,sp.,NIBRBAC000502774,"58,85","57,34","57,27",,,,,,,,,,,,,,,,,,,,
GCF_008000915.1_ASM800091v1,Rhizobium,sp.,WL3,"61,58","58,55","57,48",,,,,,,,,,,,,,,,,,,,
GCF_015353075.1_ASM1535307v1,Rhizobium,sp.,7,"60,15","59,39","61,76","57,92","57,35",,,,,,,,,,,,,,,,,,
GCF_016864535.1_ASM1686453v1,Rhizobium,sp.,BG6,"60,54","59,71",,,,,,,,,,,,,,,,,,,,,
GCF_016864575.1_ASM1686457v1,Rhizobium,sp.,BG4,"61,82","62,28","58,29",,,,,,,,,,,,,,,,,,,,
GCF_017357385.1_ASM1735738v1,Rhizobium,sp.,NZLR1,"61,07","60,84","61,82","57,59","60,68","58,11",,,,,,,,,,,,,,,,,
GCF_017357485.1_ASM1735748v1,Rhizobium,sp.,ZX09,"59,31","59,32","58,82","60,95",,,,,,,,,,,,,,,,,,,
GCF_017948245.1_ASM1794824v1,Rhizobium,sp.,NLR16a,"61,34","61,16","61,89","61,51","57,24","61,42","61,15","57,59",,,,,,,,,,,,,,,
GCF_018873185.1_ASM1887318v1,Rhizobium,sp.,X9,"59,57","59,62","58,94","58,94","61,2","63,38",,,,,,,,,,,,,,,,,
GCF_018987265.1_ASM1898726v1,Rhizobium,sp.,WYJ-E13,"60,34","59,86","58,05",,,,,,,,,,,,,,,,,,,,
GCF_019355555.1_ASM1935555v1,Rhizobium,sp.,L51/94,"60,91","58,84","57,22",61,"55,81",,,,,,,,,,,,,,,,,,
GCF_019355615.1_ASM1935561v1,Rhizobium,sp.,K15/93,"60,78","58,4","56,2","61,04","57,55",,,,,,,,,,,,,,,,,,
GCF_019355735.1_ASM1935573v1,Rhizobium,sp.,B230/85,"60,83","58,48","61,03","55,95","55,86","58,9",,,,,,,,,,,,,,,,,
GCF_019355815.1_ASM1935581v1,Rhizobium,sp.,B21/90,"60,82","58,46","56,28","61,04","57,54",,,,,,,,,,,,,,,,,,
GCF_019357455.1_ASM1935745v1,Rhizobium,sp.,AB2/73,"60,02","59,73","59,35","56,51","58,01","56,58",,,,,,,,,,,,,,,,,
GCF_021044665.1_ASM2104466v1,Rhizobium,sp.,T136,"60,18","59,15","58,43","59,21","66,72",,,,,,,,,,,,,,,,,,
GCF_021729845.1_ASM2172984v1,Rhizobium,sp.,SL42,"60,76","59,95","58,13",,,,,,,,,,,,,,,,,,,,
GCF_022354505.1_ASM2235450v1,Rhizobium,sp.,C104,"61,45","60,06","61,82","61,26","58,65","59,29","61,4","58,49","60,17",,,,,,,,,,,,,,
GCF_022385315.1_ASM2238531v1,Rhizobium,sp.,K102,"61,81","61,57","62,04","57,9","60,99","62,07","57,98",,,,,,,,,,,,,,,,
GCF_000330885.1_ASM33088v1,Rhizobium,tropici,CIAT_899,"59,88","59,36","57,62","58,62",,,,,,,,,,,,,,,,,,,
GCF_016839185.1_ASM1683918v1,Rhodococcus,aetherivorans,,"70,52","66,59",,,,,,,,,,,,,,,,,,,,,
GCF_002094405.3_ASM209440v3,Rhodococcus,equi,PAM2287,"68,75","65,09","64,7","63,02",,,,,,,,,,,,,,,,,,,
GCF_000010105.1_ASM1010v1,Rhodococcus,erythropolis,PR4_(=_NBRC_100887),"62,31","61,91","63,02","62,22",,,,,,,,,,,,,,,,,,,
GCF_000696675.2_ASM69667v2,Rhodococcus,erythropolis,R138,"62,47","60,38","60,7",,,,,,,,,,,,,,,,,,,,
GCF_000975175.1_ASM97517v1,Rhodococcus,erythropolis,BG43,"62,4","61,26","60,48","58,65",,,,,,,,,,,,,,,,,,,
GCF_008728655.1_ASM872865v1,Rhodococcus,erythropolis,X5,"62,31","62,42",,,,,,,,,,,,,,,,,,,,,
GCF_011611865.1_ASM1161186v1,Rhodococcus,erythropolis,KB1,"62,49","61,93","61,89","61,91",,,,,,,,,,,,,,,,,,,
GCF_017068035.1_ASM1706803v1,Rhodococcus,erythropolis,R85,"62,45","62,07",,,,,,,,,,,,,,,,,,,,,
GCF_021497645.1_ASM2149764v1,Rhodococcus,erythropolis,D310-1,"62,52","62,08",,,,,,,,,,,,,,,,,,,,,
GCF_022059865.1_ASM2205986v1,Rhodococcus,erythropolis,CERE8,"62,43","61,74","61,12","61,55","63,37",,,,,,,,,,,,,,,,,,
GCF_000760905.2_ASM76090v2,Rhodococcus,fascians,A21d2,"64,2","62,3","63,21","63,78",,,,,,,,,,,,,,,,,,,
GCF_001620005.1_ASM162000v1,Rhodococcus,fascians,PBTS_2,"64,66","64,72",,,,,,,,,,,,,,,,,,,,,
GCF_001620305.1_ASM162030v1,Rhodococcus,fascians,D188,"64,68","61,83","64,25",,,,,,,,,,,,,,,,,,,,
GCF_024362245.1_ASM2436224v1,Rhodococcus,gordoniae,DND3,"68,11","64,69","65,39","65,5",,,,,,,,,,,,,,,,,,,
GCF_003013675.1_ASM301367v1,Rhodococcus,hoagii,DSSKP-R-001,"68,72","66,2","69,17",,,,,,,,,,,,,,,,,,,,
GCF_007197835.1_ASM719783v1,Rhodococcus,hoagii,WY,"68,76","64,65",,,,,,,,,,,,,,,,,,,,,
GCF_019703915.1_ASM1970391v1,Rhodococcus,hoagii,JCM94-14,"68,74","66,2",,,,,,,,,,,,,,,,,,,,,
GCF_019703995.1_ASM1970399v1,Rhodococcus,hoagii,JCM94-31,"68,78","66,2","64,6",,,,,,,,,,,,,,,,,,,,
GCF_022179365.1_ASM2217936v1,Rhodococcus,hoagii,U19,"68,78","63,55",,,,,,,,,,,,,,,,,,,,,
GCF_000014565.1_ASM1456v1,Rhodococcus,jostii,RHA1,"67,52","65,05","64,01","64,91",,,,,,,,,,,,,,,,,,,
GCF_017068375.1_ASM1706837v1,Rhodococcus,koreensis,R85,"67,71","64,76","64,55","65,01","63,96",,,,,,,,,,,,,,,,,,
GCF_000010805.1_ASM1080v1,Rhodococcus,opacus,B4,"67,89","65,79","64,21","65,04","64,53","63,83",,,,,,,,,,,,,,,,,
GCF_001685605.1_ASM168560v1,Rhodococcus,opacus,1CP,"67,44","64,05","63,68",,,,,,,,,,,,,,,,,,,,
GCF_019856255.1_ASM1985625v1,Rhodococcus,opacus,DSM_44186,"67,3","64,96","66,72",,,,,,,,,,,,,,,,,,,,
GCF_020542785.1_ASM2054278v1,Rhodococcus,opacus,PD630,"67,38","65,27","65,02","63,91",,,,,,,,,,,,,,,,,,,
GCF_022655485.1_ASM2265548v1,Rhodococcus,opacus,S8,"67,42","64,82","63,52","64,57",,,,,,,,,,,,,,,,,,,
GCF_022985635.1_ASM2298563v1,Rhodococcus,opacus,9,"67,41","66,3","66,29",,,,,,,,,,,,,,,,,,,,
GCF_003130705.1_ASM313070v1,Rhodococcus,oxybenzonivorans,S2-17,"65,8","64,48","64,94","64,4",,,,,,,,,,,,,,,,,,,
GCF_000511305.1_ASM51130v1,Rhodococcus,pyridinivorans,SB3094,"67,98","65,05","65,6",,,,,,,,,,,,,,,,,,,,
GCF_005944105.1_ASM594410v1,Rhodococcus,pyridinivorans,YF3,"67,8","66,32","63,23","64,96","65,56",,,,,,,,,,,,,,,,,,
GCF_015169995.1_ASM1516999v1,Rhodococcus,pyridinivorans,5Ap,"67,95","64,76","66,95","65,65",,,,,,,,,,,,,,,,,,,
GCF_016598695.1_ASM1659869v1,Rhodococcus,pyridinivorans,B403,"68,05","65,6",,,,,,,,,,,,,,,,,,,,,
GCF_019095205.1_ASM1909520v1,Rhodococcus,pyridinivorans,YC-JH2,"68,01","66,58","64,07","64,36","65,89",,,,,,,,,,,,,,,,,,
GCF_021165995.1_ASM2116599v1,Rhodococcus,pyridinivorans,DNHP-S2,68,"66,3","64,94",,,,,,,,,,,,,,,,,,,,
GCF_023100785.1_ASM2310078v1,Rhodococcus,pyridinivorans,YC-MTN,"67,86","65,8",,,,,,,,,,,,,,,,,,,,,
GCF_023238485.1_ASM2323848v1,Rhodococcus,pyridinivorans,PE41,"67,94","64,25",,,,,,,,,,,,,,,,,,,,,
GCF_023822085.1_ASM2382208v1,Rhodococcus,pyridinivorans,4-4,"67,99","65,58","64,66",,,,,,,,,,,,,,,,,,,,
GCF_024266895.1_ASM2426689v1,Rhodococcus,pyridinivorans,Y6,"67,99","63,55","66,71","64,87","68,64",,,,,,,,,,,,,,,,,,
GCF_002893965.1_ASM289396v1,Rhodococcus,qingshengii,djl-6-2,"62,44","62,05","61,89","61,02",,,,,,,,,,,,,,,,,,,
GCF_008306195.1_ASM830619v1,Rhodococcus,qingshengii,RL1,"62,51","61,12","63,36",,,,,,,,,,,,,,,,,,,,
GCF_015034605.1_ASM1503460v1,Rhodococcus,qingshengii,7B,"62,49","62,29","62,4",,,,,,,,,,,,,,,,,,,,
GCF_015099595.1_ASM1509959v1,Rhodococcus,qingshengii,CS98,"62,54","60,41",,,,,,,,,,,,,,,,,,,,,
GCF_016722835.1_ASM1672283v2,Rhodococcus,qingshengii,F2-2,"62,5","61,19","61,64","61,59",,,,,,,,,,,,,,,,,,,
GCF_017795725.1_ASM1779572v1,Rhodococcus,qingshengii,CX-1,"62,5","61,07","61,49","62,41","61,44",,,,,,,,,,,,,,,,,,
GCF_017910955.1_ASM1791095v1,Rhodococcus,qingshengii,CL-05,"62,49","62,37",,,,,,,,,,,,,,,,,,,,,
GCF_019048925.1_ASM1904892v1,Rhodococcus,qingshengii,TG-1,"62,51","61,28","62,18","62,23",,,,,,,,,,,,,,,,,,,
GCF_021165975.1_ASM2116597v1,Rhodococcus,qingshengii,VT6,"62,41","61,5","61,47","63,24","61,88",,,,,,,,,,,,,,,,,,
GCF_024498635.1_ASM2449863v1,Rhodococcus,qingshengii,J1-2,"62,52","60,81",,,,,,,,,,,,,,,,,,,,,
GCF_009883715.1_ASM988371v1,Rhodococcus,rhodochrous,ATCC_BAA870,"68,23","63,84",,,,,,,,,,,,,,,,,,,,,
GCF_014854695.1_ASM1485469v1,Rhodococcus,rhodochrous,BX2,"68,07","63,71","65,76","67,75",,,,,,,,,,,,,,,,,,,
GCF_002863905.1_ASM286390v1,Rhodococcus,ruber,YYL,"70,5","66,66","66,51",,,,,,,,,,,,,,,,,,,,
GCF_003586525.1_ASM358652v1,Rhodococcus,ruber,YC-YT1,"70,41","67,2","64,96",,,,,,,,,,,,,,,,,,,,
GCF_006351985.2_ASM635198v2,Rhodococcus,ruber,R1,"70,61","67,07","70,04",,,,,,,,,,,,,,,,,,,,
GCF_016804345.1_ASM1680434v1,Rhodococcus,ruber,C1,"70,52","68,82","69,86",,,,,,,,,,,,,,,,,,,,
GCF_023278385.1_ASM2327838v1,Rhodococcus,ruber,ZM15,"70,42","64,85","65,36",,,,,,,,,,,,,,,,,,,,
GCF_000763325.2_ASM76332v2,Rhodococcus,sp.,p52,"68,11","64,87","66,24","65,49",,,,,,,,,,,,,,,,,,,
GCF_001682295.1_ASM168229v1,Rhodococcus,sp.,8,"62,35","61,79","62,6","62,51",,,,,,,,,,,,,,,,,,,
GCF_001700945.1_ASM170094v1,Rhodococcus,sp.,WB1,"70,63","67,25",,,,,,,,,,,,,,,,,,,,,
GCF_001886355.1_ASM188635v1,Rhodococcus,sp.,2G,"67,84","63,29",,,,,,,,,,,,,,,,,,,,,
GCF_001942025.1_ASM194202v1,Rhodococcus,sp.,YL-1,"62,48","61,51","61,99","61,16","62,27","69,08",,,,,,,,,,,,,,,,,
GCF_002079265.1_ASM207926v1,Rhodococcus,sp.,BH4,"62,5","60,86",,,,,,,,,,,,,,,,,,,,,
GCF_002501585.1_ASM250158v1,Rhodococcus,sp.,H-CA8f,"62,45","62,34",,,,,,,,,,,,,,,,,,,,,
GCF_003860625.1_ASM386062v1,Rhodococcus,sp.,NJ-530,"62,41","61,75","60,83","62,18","62,73",,,,,,,,,,,,,,,,,,
GCF_005484805.1_ASM548480v1,Rhodococcus,sp.,SGAir0479,"69,79","65,58",,,,,,,,,,,,,,,,,,,,,
GCF_009707305.1_ASM970730v1,Rhodococcus,sp.,AQ5-07,"62,42","61,25","61,89","60,67",,,,,,,,,,,,,,,,,,,
GCF_009859915.1_ASM985991v1,Rhodococcus,sp.,WAY2,"65,86","65,04","64,92","65,1","61,45",,,,,,,,,,,,,,,,,,
GCF_015654185.1_ASM1565418v1,Rhodococcus,sp.,M8,"70,46","67,34",,,,,,,,,,,,,,,,,,,,,
GCF_017068395.1_ASM1706839v1,Rhodococcus,sp.,R79,"67,54","64,9","66,12","64,67",65,"65,71",,,,,,,,,,,,,,,,,
GCF_017656075.1_ASM1765607v1,Rhodococcus,sp.,ZPP,"65,74","65,04","65,72","63,8","64,52","65,76",,,,,,,,,,,,,,,,,
GCF_018343855.1_ASM1834385v1,Rhodococcus,sp.,USK13,"65,61","63,37","64,15",,,,,,,,,,,,,,,,,,,,
GCF_019317345.1_ASM1931734v1,Rhodococcus,sp.,LW-XY12,"67,95","65,12","66,3","64,25","65,45","64,92",,,,,,,,,,,,,,,,,
GCF_019378875.1_ASM1937887v1,Rhodococcus,sp.,USK10,"67,64","64,58","65,96",,,,,,,,,,,,,,,,,,,,
GCF_020885655.1_ASM2088565v1,Rhodococcus,sp.,RDE2,"67,99","65,68","65,89",64,"67,9","67,12","65,34",,,,,,,,,,,,,,,,
GCF_021441945.1_ASM2144194v1,Rhodococcus,sp.,DMF-1,"70,52","65,56","68,82",,,,,,,,,,,,,,,,,,,,
GCF_024321955.1_ASM2432195v1,Rhodococcus,sp.,GA1,68,"65,25","65,15","67,07",,,,,,,,,,,,,,,,,,,
GCF_001941945.1_ASM194194v1,Roseomonas,gilardii,U14-5,"70,69","68,31","67,06","67,12","65,51",,,,,,,,,,,,,,,,,,
GCF_023078375.1_ASM2307837v1,Roseomonas,gilardii,ATCC_49956,"70,51","68,36",,,,,,,,,,,,,,,,,,,,,
GCF_017355405.1_ASM1735540v1,Roseomonas,haemaphysalidis,546,"70,9","69,86","69,55","64,13","63,35","61,67","66,62","62,22",,,,,,,,,,,,,,,
GCF_017654485.1_ASM1765448v1,Roseomonas,marmotae,1318,"69,26",68,"68,87","66,05","69,64","65,72","64,76","64,16","63,09","54,46",,,,,,,,,,,,,
GCF_008693785.1_ASM869378v1,Roseomonas,mucosa,FDAARGOS_658,"70,76","68,21","67,04","67,11","65,2",,,,,,,,,,,,,,,,,,
GCF_023923185.1_ASM2392318v1,Roseomonas,mucosa,TT14,"70,65","67,86","69,07","67,19","68,47","68,57","66,7","66,05","64,53","69,24",,,,,,,,,,,,,
GCF_002754815.1_ASM275481v1,Roseomonas,sp.,FDAARGOS_362,"70,88","67,98","68,71","68,79","67,02","66,47","65,43","63,03",,,,,,,,,,,,,,,
GCF_020991085.1_ASM2099108v1,Roseomonas,sp.,OT10,"72,89","68,6","68,58",,,,,,,,,,,,,,,,,,,,
GCF_023038235.1_ASM2303823v1,Shinella,oryzae,Z-25,"64,05","61,86",,,,,,,,,,,,,,,,,,,,,
GCF_001652565.1_ASM165256v1,Shinella,sp.,HZN7,"65,24","66,22","65,52","65,26","65,12","58,45","62,15","60,61","66,05","61,73","61,33","60,58","59,94",,,,,,,,,,
GCF_016839145.1_ASM1683914v1,Shinella,sp.,,"65,5","66,27","66,9","60,23",,,,,,,,,,,,,,,,,,,
GCF_020535565.1_ASM2053556v1,Shinella,sp.,XGS7,"68,89","62,61","59,44",,,,,,,,,,,,,,,,,,,,
GCF_022637395.1_ASM2263739v1,Shinella,sp.,H4-D48,"62,77","61,09","62,26",,,,,,,,,,,,,,,,,,,,
GCF_020883495.1_ASM2088349v1,Shinella,zoogloeoides,ATCC_19623,"64,48","65,67","64,29","60,44","59,19",,,,,,,,,,,,,,,,,,
GCF_022682305.1_ASM2268230v1,Shinella,zoogloeoides,XJ20,64,"65,59","61,18","60,48","58,52","62,65","62,68",,,,,,,,,,,,,,,,
GCF_000705595.2_ASM70559v2,Sinorhizobium,americanum,CCGM7,"63,04","62,07","58,83","60,01",,,,,,,,,,,,,,,,,,,
GCF_001889105.1_ASM188910v1,Sinorhizobium,americanum,CFNEI_73,"62,97","62,21","58,97","59,71",,,,,,,,,,,,,,,,,,,
GCF_002288485.1_ASM228848v1,Sinorhizobium,fredii,CCBAU_83666,"62,88","62,02","58,88","58,01",,,,,,,,,,,,,,,,,,,
GCF_002944405.1_ASM294440v1,Sinorhizobium,fredii,NXT3,"62,91","62,49","58,7","60,1",,,,,,,,,,,,,,,,,,,
GCF_003100575.1_ASM310057v1,Sinorhizobium,fredii,CCBAU_45436,"62,67","62,31","59,1","60,55","60,08",,,,,,,,,,,,,,,,,,
GCF_003177055.1_ASM317705v1,Sinorhizobium,fredii,CCBAU_25509,"62,59","61,98","59,01",,,,,,,,,,,,,,,,,,,,
GCF_024400375.1_ASM2440037v1,Sinorhizobium,fredii,SMH12,"62,79","61,97","59,02",,,,,,,,,,,,,,,,,,,,
GCF_000017145.1_ASM1714v1,Sinorhizobium,medicae,WSM419,"61,5","61,46","59,89","60,06",,,,,,,,,,,,,,,,,,,
GCF_021052565.1_ASM2105256v1,Sinorhizobium,medicae,WSM1115,"61,48","61,56","59,92","60,64",,,,,,,,,,,,,,,,,,,
GCF_000218265.1_ASM21826v1,Sinorhizobium,meliloti,SM11,"62,65","60,16","62,43",,,,,,,,,,,,,,,,,,,,
GCF_000747295.1_ASM74729v1,Sinorhizobium,meliloti,RMO17,"62,75","62,59","60,56",,,,,,,,,,,,,,,,,,,,
GCF_002197025.1_ASM219702v1,Sinorhizobium,meliloti,USDA1157,"62,74","62,31","60,2","60,21",,,,,,,,,,,,,,,,,,,
GCF_002197045.1_ASM219704v1,Sinorhizobium,meliloti,Rm41,"62,75","62,33","60,54","59,35",,,,,,,,,,,,,,,,,,,
GCF_002197065.1_ASM219706v1,Sinorhizobium,meliloti,USDA1106,"62,72","62,42","60,37",,,,,,,,,,,,,,,,,,,,
GCF_002197105.1_ASM219710v1,Sinorhizobium,meliloti,KH35c,"62,83","62,6","60,26","59,74",,,,,,,,,,,,,,,,,,,
GCF_002197125.1_ASM219712v1,Sinorhizobium,meliloti,M162,"62,6","62,36","60,36","60,66",,,,,,,,,,,,,,,,,,,
GCF_002197445.1_ASM219744v1,Sinorhizobium,meliloti,USDA1021,"62,76","62,45","60,48","58,49",,,,,,,,,,,,,,,,,,,
GCF_002302355.1_ASM230235v1,Sinorhizobium,meliloti,B401,"62,88","62,64","60,53",,,,,,,,,,,,,,,,,,,,
GCF_002302375.1_ASM230237v1,Sinorhizobium,meliloti,B399,"62,78","62,68","60,55",,,,,,,,,,,,,,,,,,,,
GCF_002288505.1_ASM228850v1,Sinorhizobium,sp.,CCBAU_05631,"62,84","62,89","59,34","59,78",,,,,,,,,,,,,,,,,,,
GCF_016864555.1_ASM1686455v1,Sinorhizobium,sp.,BG8,"61,99","61,21",,,,,,,,,,,,,,,,,,,,,
GCF_003967075.1_ASM396707v1,Sphingobium,amiense,DSM_16289,"64,82","63,28","63,89","61,4","62,47","62,88","60,9",,,,,,,,,,,,,,,,
GCF_001456115.1_ASM145611v1,Sphingobium,baderi,DE-13,"62,4","62,72","62,37","61,63","62,96","62,62","64,73","61,35","58,94",,,,,,,,,,,,,,
GCF_000147835.2_ASM14783v3,Sphingobium,chlorophenolicum,L-1,"63,86","63,6","64,84",,,,,,,,,,,,,,,,,,,,
GCF_002355855.1_ASM235585v1,Sphingobium,cloacae,JCM_10874,"64,55","64,85","62,77","63,75","63,46","62,41","62,9",,,,,,,,,,,,,,,,
GCF_006363875.1_ASM636387v1,Sphingobium,fuliginis,ATCC_27551,"64,32","65,25","62,54","61,18","62,43","63,17",,,,,,,,,,,,,,,,,
GCF_015074805.1_ASM1507480v1,Sphingobium,fuliginis,KK22,"64,77","65,22","62,18","63,44",,,,,,,,,,,,,,,,,,,
GCF_002080435.1_ASM208043v1,Sphingobium,herbicidovorans,MH,"62,46","63,01","60,78","63,49","59,86",,,,,,,,,,,,,,,,,,
GCF_000264945.2_ASM26494v2,Sphingobium,indicum,B90A,"64,98","64,9","66,72","63,28",,,,,,,,,,,,,,,,,,,
GCF_000091125.1_ASM9112v1,Sphingobium,japonicum,UT26S,"64,76","65,94","62,96","63,69","60,99",,,,,,,,,,,,,,,,,,
GCF_000283515.1_ASM28351v1,Sphingobium,sp.,SYK-6,"65,57","64,4",,,,,,,,,,,,,,,,,,,,,
GCF_000943805.1_ASM94380v1,Sphingobium,sp.,YBL2,"64,79","61,14","62,83","62,24","60,54","60,72","60,85",,,,,,,,,,,,,,,,
GCF_001563265.1_ASM156326v1,Sphingobium,sp.,TKS,"63,38","62,87","62,82","59,84","61,68","62,04","60,91","62,78","60,3","59,7","60,93",,,,,,,,,,,,
GCF_001563285.1_ASM156328v1,Sphingobium,sp.,MI1205,"62,32","62,42","62,79","62,54","60,97","62,98",,,,,,,,,,,,,,,,,
GCF_001658005.1_ASM165800v1,Sphingobium,sp.,EP60837,"62,4","61,61","58,7","61,31",,,,,,,,,,,,,,,,,,,
GCF_001713415.1_ASM171341v1,Sphingobium,sp.,RAC03,"63,28","61,88","62,13","60,45","61,52",,,,,,,,,,,,,,,,,,
GCF_003609795.1_ASM360979v1,Sphingobium,sp.,YG1,"63,76","62,14","61,88","58,54",,,,,,,,,,,,,,,,,,,
GCF_005406185.2_ASM540618v2,Sphingobium,sp.,RSMS,"64,51","65,16","63,55","63,27","63,8","61,44",,,,,,,,,,,,,,,,,
GCF_009720145.1_ASM972014v1,Sphingobium,sp.,CAP-1,"64,72","63,61","62,41","62,6","53,97",,,,,,,,,,,,,,,,,,
GCF_014280435.1_ASM1428043v1,Sphingobium,sp.,KCTC_72723,"62,67","59,38",,,,,,,,,,,,,,,,,,,,,
GCF_002288285.1_ASM228828v1,Sphingobium,xenophagum,C1,"63,6","61,96","63,89","62,5","62,37","62,91","59,26",,,,,,,,,,,,,,,,
GCF_018889915.1_ASM1888991v1,Sphingobium,xenophagum,PH3-15,"63,38","61,74","62,27","62,3","60,85",,,,,,,,,,,,,,,,,,
GCF_001078495.2_ASM107849v2,Sphingobium,yanoikuyae,SHJ,"64,36","63,69","61,43",,,,,,,,,,,,,,,,,,,,
GCF_003697265.1_ASM369726v1,Sphingobium,yanoikuyae,SJTF8,"64,31","62,38","62,66","61,35",,,,,,,,,,,,,,,,,,,
GCF_009856545.1_ASM985654v1,Sphingobium,yanoikuyae,YC-JY1,"64,08","61,06","59,75","59,24","61,31","60,32",,,,,,,,,,,,,,,,,
GCF_013001025.1_ASM1300102v1,Sphingobium,yanoikuyae,YC-XJ2,"64,33","61,96","63,44","59,35",,,,,,,,,,,,,,,,,,,
GCF_023935825.1_ASM2393582v1,Sphingomonas,aerolata,PDD-32b-11,"66,42","59,08","60,23","61,95",,,,,,,,,,,,,,,,,,,
GCF_016743815.1_ASM1674381v1,Sphingomonas,aliaeris,DH-S5,"64,36","64,6","64,6",,,,,,,,,,,,,,,,,,,,
GCF_009913435.1_ASM991343v1,Sphingomonas,changnyeongensis,C33,"68,6","61,26",,,,,,,,,,,,,,,,,,,,,
GCF_014489495.1_ASM1448949v1,Sphingomonas,daechungensis,KACC_18115,"63,09","61,02",,,,,,,,,,,,,,,,,,,,,
GCF_000935025.1_ASM93502v1,Sphingomonas,hengshuiensis,WHSC-8,"66,7","62,6",,,,,,,,,,,,,,,,,,,,,
GCF_010450875.1_ASM1045087v1,Sphingomonas,insulae,KCTC_12872,"67,05","63,65","62,8","62,86","64,63",,,,,,,,,,,,,,,,,,
GCF_001922385.1_ASM192238v1,Sphingomonas,koreensis,ABOJV,"66,11","63,65",,,,,,,,,,,,,,,,,,,,,
GCF_001761345.1_ASM176134v1,Sphingomonas,melonis,TY,"67,06","62,52",,,,,,,,,,,,,,,,,,,,,
GCF_023822065.1_ASM2382206v1,Sphingomonas,morindae,NBD5,"69,7","70,24","63,17","62,89",,,,,,,,,,,,,,,,,,,
GCF_003660165.1_ASM366016v1,Sphingomonas,paeninsulae,YZ-8,"58,83","58,73","59,75",,,,,,,,,,,,,,,,,,,,
GCF_001717955.1_ASM171795v1,Sphingomonas,panacis,DCY99,"65,66","62,71",,,,,,,,,,,,,,,,,,,,,
GCF_014169955.1_ASM1416995v1,Sphingomonas,paucimobilis,Kira,"65,74","63,64","66,48",,,,,,,,,,,,,,,,,,,,
GCF_016027095.1_ASM1602709v1,Sphingomonas,paucimobilis,FDAARGOS_908,"65,78","65,08","63,19","63,25",,,,,,,,,,,,,,,,,,,
GCF_016028435.1_ASM1602843v1,Sphingomonas,paucimobilis,FDAARGOS_881,"65,75","64,22","65,22","64,44",,,,,,,,,,,,,,,,,,,
GCF_019297835.1_ASM1929783v1,Sphingomonas,sanguinis,NP2-R2,"66,11","64,08",,,,,,,,,,,,,,,,,,,,,
GCF_000512205.2_ASM51220v2,Sphingomonas,sanxanigenens,NX02,"66,78","64,63",,,,,,,,,,,,,,,,,,,,,
GCF_000347675.2_ASM34767v2,Sphingomonas,sp.,MM-1,"67,17","63,5","62,5","62,95","63,31","63,04",,,,,,,,,,,,,,,,,
GCF_001638925.1_ASM163892v1,Sphingomonas,sp.,NIC1,"67,4","65,2","64,48",,,,,,,,,,,,,,,,,,,,
GCF_001971605.1_ASM197160v1,Sphingomonas,sp.,LK11,"66,16","62,97","65,05",,,,,,,,,,,,,,,,,,,,
GCF_002796605.1_ASM279660v1,Sphingomonas,sp.,Cra20,"65,69","62,54",,,,,,,,,,,,,,,,,,,,,
GCF_003355005.1_ASM335500v1,Sphingomonas,sp.,FARSPH,"68,02","64,77","62,96","61,59",,,,,,,,,,,,,,,,,,,
GCF_004354345.1_ASM435434v1,Sphingomonas,sp.,AAP5,"66,16","62,67","63,33","63,32",,,,,,,,,,,,,,,,,,,
GCF_013113735.1_ASM1311373v1,Sphingomonas,sp.,AP4-R1,"65,78","61,18",,,,,,,,,,,,,,,,,,,,,
GCF_013344685.1_ASM1334468v1,Sphingomonas,sp.,CL5.1,"67,09","62,64",,,,,,,,,,,,,,,,,,,,,
GCF_013374115.1_ASM1337411v1,Sphingomonas,sp.,HMP9,"65,5","62,91",,,,,,,,,,,,,,,,,,,,,
GCF_014217605.1_ASM1421760v1,Sphingomonas,sp.,NBWT7,"67,4","63,16",,,,,,,,,,,,,,,,,,,,,
GCF_000764535.1_ASM76453v1,Sphingomonas,taxi,ATCC_55669,68,"66,69","62,31",,,,,,,,,,,,,,,,,,,,
